CommandLine, Time, Executable, Parent PID, PID, User, Privileges
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
None , 20240925043831.734379+120 , None,772 , 3024 , (None, 2, None) , N/A
taskhostw.exe Install $(Arg0) , 20240925043831.847901+120 , None,380 , 5644 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240925043831.806642+120 , None,380 , 7052 , (None, 2, None) , N/A
None , 20240925043832.780813+120 , None,380 , 6468 , (None, 2, None) , N/A
None , 20240925043835.139717+120 , None,380 , 7232 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240925043836.828618+120 , None,380 , 1864 , (None, 2, None) , N/A
None , 20240925043837.205255+120 , None,2680 , 2388 , (None, 2, None) , N/A
None , 20240925043836.814355+120 , None,380 , 2680 , (None, 2, None) , N/A
None , 20240925043837.719137+120 , None,380 , 3776 , (None, 2, None) , N/A
None , 20240925043836.773437+120 , None,632 , 6756 , (None, 2, None) , N/A
None , 20240925043838.634215+120 , None,772 , 3604 , (None, 2, None) , N/A
None , 20240925043837.810945+120 , None,380 , 7264 , (None, 2, None) , N/A
None , 20240925043841.524076+120 , None,3776 , 4848 , (None, 2, None) , N/A
None , 20240925043841.533262+120 , None,7264 , 5656 , (None, 2, None) , N/A
None , 20240925043901.365521+120 , None,1864 , 2020 , (None, 2, None) , N/A
None , 20240925043901.503209+120 , None,1864 , 3844 , (None, 2, None) , N/A
None , 20240925043901.364861+120 , None,6468 , 6484 , (None, 2, None) , N/A
None , 20240925043901.670914+120 , None,6192 , 4048 , (None, 2, None) , N/A
None , 20240925043901.585880+120 , None,6468 , 6192 , (None, 2, None) , N/A
None , 20240925043902.822636+120 , None,6484 , 1768 , (None, 2, None) , N/A
None , 20240925043903.349256+120 , None,3844 , 8044 , (None, 2, None) , N/A
None , 20240925043903.776557+120 , None,2020 , 3936 , (None, 2, None) , N/A
None , 20240925043920.783720+120 , None,6192 , 7100 , (None, 2, None) , N/A
None , 20240925043924.491281+120 , None,632 , 5900 , (None, 2, None) , N/A
None , 20240925043928.037986+120 , None,7100 , 2588 , (None, 2, None) , N/A
None , 20240925043934.549139+120 , None,6484 , 2964 , (None, 2, None) , N/A
None , 20240925044005.688851+120 , None,428 , 3956 , (None, 2, None) , N/A
None , 20240925044005.702837+120 , None,3956 , 5840 , (None, 2, None) , N/A
None , 20240925044006.367269+120 , None,632 , 5952 , (None, 2, None) , N/A
None , 20240925044319.819261+120 , None,380 , 1440 , (None, 2, None) , N/A
None , 20240925044453.008677+120 , None,632 , 2888 , (None, 2, None) , N/A
None , 20240925044605.600649+120 , None,7100 , 6168 , (None, 2, None) , N/A
None , 20240925044615.389782+120 , None,7100 , 6864 , (None, 2, None) , N/A
None , 20240925044631.914494+120 , None,7100 , 2740 , (None, 2, None) , N/A
None , 20240925044632.545753+120 , None,7100 , 4924 , (None, 2, None) , N/A
None , 20240925044633.418418+120 , None,7100 , 5468 , (None, 2, None) , N/A
None , 20240925044647.441315+120 , None,7100 , 7808 , (None, 2, None) , N/A
None , 20240925044649.670617+120 , None,7100 , 6908 , (None, 2, None) , N/A
None , 20240925044652.119769+120 , None,7100 , 4704 , (None, 2, None) , N/A
None , 20240925044653.697820+120 , None,7100 , 2176 , (None, 2, None) , N/A
None , 20240925044738.196873+120 , None,7100 , 6252 , (None, 2, None) , N/A
None , 20240925044739.217490+120 , None,7100 , 360 , (None, 2, None) , N/A
None , 20240925044744.213252+120 , None,7100 , 2376 , (None, 2, None) , N/A
None , 20240925044749.833047+120 , None,7100 , 408 , (None, 2, None) , N/A
None , 20240925044754.978263+120 , None,7100 , 8120 , (None, 2, None) , N/A
None , 20240925044801.484172+120 , None,7100 , 2300 , (None, 2, None) , N/A
None , 20240925044802.864546+120 , None,7100 , 2652 , (None, 2, None) , N/A
None , 20240925044808.019211+120 , None,7100 , 7068 , (None, 2, None) , N/A
None , 20240925044818.531542+120 , None,7100 , 7984 , (None, 2, None) , N/A
None , 20240925044820.054993+120 , None,7100 , 780 , (None, 2, None) , N/A
None , 20240925044820.777423+120 , None,7100 , 6560 , (None, 2, None) , N/A
None , 20240925044829.827568+120 , None,7100 , 6852 , (None, 2, None) , N/A
None , 20240925044834.488477+120 , None,632 , 900 , (None, 2, None) , N/A
"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe" -ServerName:ShellFeedsUI.AppX88fpyyrd21w8wqe62wzsjh5agex7tf1e.mca , 20240925044837.838489+120 , None,772 , 6708 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051222.438381+120 , C:\Windows\system32\conhost.exe,6548 , 3244 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Users\lehorla\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting , 20240926051225.679457+120 , C:\Users\lehorla\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,396 , 5512 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/origin/main refs/remotes/origin/main , 20240926051226.264790+120 , None,2292 , 6592 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Users\lehorla\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe , 20240926051225.678381+120 , C:\Users\lehorla\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,396 , 6724 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --lang=fr --service-sandbox-type=service --string-annotations=is-enterprise-managed=no --field-trial-handle=5368,i,10429386024063121222,12529014306556427185,262144 --variations-seed-version --mojo-platform-channel-handle=5356 /prefetch:8 , 20240926051235.842004+120 , C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,5524 , 3284 , ('DESKTOP-JCMNI29', 0, 'lehorla') , 
C:\Windows\system32\ApplicationFrameHost.exe -Embedding , 20240926051318.234662+120 , None,764 , 3848 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca , 20240926051318.238399+120 , None,764 , 5844 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240926051335.448399+120 , None,764 , 6652 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926051340.801732+120 , None,2384 , 6884 , (None, 2, None) , N/A
None , 20240926051342.684540+120 , None,2384 , 6588 , (None, 2, None) , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051349.242988+120 , None,6516 , 2516 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926051349.174771+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6516 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926051349.117904+120 , None,2292 , 6696 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe config --get commit.template , 20240926051349.706045+120 , C:\Program Files\Git\mingw64\bin\git.exe,6696 , 4636 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051349.498453+120 , C:\Windows\system32\conhost.exe,6696 , 6884 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" rev-parse refs/remotes/origin/main , 20240926051350.327031+120 , None,2292 , 812 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926051351.075735+120 , C:\Program Files\Git\cmd\git.exe,2292 , 4496 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926051351.286694+120 , C:\Program Files\Git\mingw64\bin\git.exe,4496 , 5504 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051351.091847+120 , C:\Windows\system32\conhost.exe,4496 , 6516 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926051355.264273+120 , None,2384 , 6952 , (None, 2, None) , N/A
None , 20240926051356.156861+120 , None,2384 , 2644 , (None, 2, None) , N/A
C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20240926051356.206622+120 , None,764 , 4448 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926051400.910554+120 , C:\Program Files\Git\cmd\git.exe,2292 , 2952 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926051400.951849+120 , C:\Windows\system32\conhost.exe,2952 , 3324 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926051400.935512+120 , C:\Program Files\Git\cmd\git.exe,2292 , 3652 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
