CommandLine, Time, Executable, Parent PID, PID, User, Privileges
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052107.631666+120 , C:\Windows\system32\conhost.exe,5280 , 6584 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926052109.014534+120 , None,3412 , 4452 , (None, 2, None) , N/A
None , 20240926052115.071076+120 , None,3412 , 7720 , (None, 2, None) , N/A
None , 20240926052116.111809+120 , None,3412 , 7424 , (None, 2, None) , N/A
None , 20240926052117.054848+120 , None,3412 , 7360 , (None, 2, None) , N/A
None , 20240926052120.926775+120 , None,3412 , 6680 , (None, 2, None) , N/A
None , 20240926052121.899799+120 , None,3412 , 7144 , (None, 2, None) , N/A
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926052125.535018+120 , None,2292 , 7528 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926052126.577975+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1164 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052126.590968+120 , C:\Windows\system32\conhost.exe,1164 , 4820 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052127.557588+120 , C:\Windows\system32\conhost.exe,6296 , 4264 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/origin/main refs/remotes/origin/main , 20240926052129.306142+120 , None,2292 , 7988 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" rev-parse refs/remotes/origin/main , 20240926052133.368773+120 , C:\Program Files\Git\cmd\git.exe,2292 , 3436 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926052134.336663+120 , C:\Program Files\Git\cmd\git.exe,2292 , 3148 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052134.442778+120 , C:\Windows\system32\conhost.exe,3148 , 5252 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926052134.554511+120 , C:\Program Files\Git\mingw64\bin\git.exe,3148 , 7596 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --lang=fr --service-sandbox-type=service --string-annotations=is-enterprise-managed=no --field-trial-handle=3808,i,10429386024063121222,12529014306556427185,262144 --variations-seed-version --mojo-platform-channel-handle=5924 /prefetch:8 , 20240926052135.631117+120 , None,5524 , 5068 , ('DESKTOP-JCMNI29', 0, 'lehorla') , 
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/origin/main refs/remotes/origin/main , 20240926052136.540527+120 , C:\Program Files\Git\cmd\git.exe,2292 , 2720 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1 , 20240926052136.762127+120 , None,2720 , 7812 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926052141.937002+120 , None,3412 , 4816 , (None, 2, None) , N/A
None , 20240926052143.785622+120 , None,3412 , 6812 , (None, 2, None) , N/A
None , 20240926052148.380612+120 , None,3412 , 8112 , (None, 2, None) , N/A
None , 20240926052148.844531+120 , None,3412 , 7308 , (None, 2, None) , N/A
None , 20240926052202.898843+120 , None,3412 , 6960 , (None, 2, None) , N/A
None , 20240926052203.990851+120 , None,3412 , 6864 , (None, 2, None) , N/A
None , 20240926052205.212127+120 , None,3412 , 4344 , (None, 2, None) , N/A
None , 20240926052207.319417+120 , None,3412 , 7480 , (None, 2, None) , N/A
"C:\Program Files\WindowsApps\Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe\WinStore.App.exe" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca , 20240926052225.066919+120 , C:\Program Files\WindowsApps\Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe\WinStore.App.exe,764 , 2768 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240926052232.866520+120 , C:\Windows\System32\RuntimeBroker.exe,764 , 7924 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca , 20240926052244.480158+120 , C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1906.55.0_x64__8wekyb3d8bbwe\Calculator.exe,764 , 2924 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926052249.536514+120 , C:\Program Files\Git\mingw64\bin\git.exe,5728 , 2400 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926052249.446875+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5728 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926052255.765576+120 , C:\Program Files\Git\mingw64\bin\git.exe,4376 , 2072 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926053042.467977+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6732 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053043.958178+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1676 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053043.970234+120 , C:\Windows\system32\conhost.exe,1676 , 1840 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053046.373815+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1688 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053047.293105+120 , None,1688 , 5500 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926053049.956182+120 , None,4688 , 5160 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053051.556856+120 , None,6856 , 4712 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" config --local branch.main.vscode-merge-base , 20240926053050.904631+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6856 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926053053.306309+120 , None,5160 , 4100 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240926053057.889302+120 , None,7272 , 1072 , (None, 2, None) , N/A
None , 20240926053057.500312+120 , None,7852 , 7272 , (None, 2, None) , N/A
None , 20240926053056.893800+120 , None,628 , 7852 , (None, 2, None) , N/A
None , 20240926053102.921833+120 , None,628 , 7976 , (None, 2, None) , N/A
None , 20240926053109.275287+120 , None,4688 , 2916 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240926053110.800665+120 , None,2916 , 3596 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240926053112.826514+120 , None,628 , 2512 , (None, 2, None) , N/A
None , 20240926053113.991564+120 , None,2512 , 6812 , (None, 2, None) , N/A
None , 20240926053115.318630+120 , None,6812 , 1708 , (None, 2, None) , N/A
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053120.775963+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1040 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926053120.761398+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6448 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053120.816363+120 , C:\Windows\system32\conhost.exe,1040 , 7628 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053123.818934+120 , C:\Program Files\Git\mingw64\bin\git.exe,8080 , 5748 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053123.691167+120 , C:\Windows\system32\conhost.exe,8080 , 660 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053123.676234+120 , C:\Program Files\Git\cmd\git.exe,2292 , 8080 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053132.288294+120 , C:\Windows\system32\conhost.exe,4944 , 3372 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053133.236108+120 , C:\Windows\system32\conhost.exe,7304 , 6632 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
C:\Windows\System32\smartscreen.exe -Embedding , 20240926053143.570012+120 , C:\Windows\System32\smartscreen.exe,764 , 5176 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\system32\OpenWith.exe -Embedding , 20240926053155.899049+120 , None,764 , 2940 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20240926053158.319052+120 , C:\Windows\system32\DllHost.exe,764 , 3736 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\system32\OpenWith.exe -Embedding , 20240926053212.811783+120 , None,764 , 4360 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe" "C:\Users\lehorla\AppData\Local\Temp\Temp1_bhvulnservice.zip\vulnservice.py" , 20240926053222.439913+120 , None,4360 , 2256 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe" --type=crashpad-handler --user-data-dir=C:\Users\lehorla\AppData\Roaming\Code /prefetch:4 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\lehorla\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=b44c976b-0ad8-4f0f-8d43-ea90f3475d9e&iid=b44c976b-0ad8-4f0f-8d43-ea90f3475d9e&sid=b44c976b-0ad8-4f0f-8d43-ea90f3475d9e --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.93.1 --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=30.4.0 --initial-client-data=0x3f4,0x3f8,0x3d4,0x3fc,0x404,0x7ff7b5bbce18,0x7ff7b5bbce24,0x7ff7b5bbce30 , 20240926053225.919686+120 , C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe,2256 , 3076 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe" --type=gpu-process --user-data-dir="C:\Users\lehorla\AppData\Roaming\Code" --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1704,i,14463610889964325871,11680353215834942672,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=1684 /prefetch:2 , 20240926053227.582633+120 , None,2256 , 6244 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir="C:\Users\lehorla\AppData\Roaming\Code" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1944,i,14463610889964325871,11680353215834942672,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=1940 /prefetch:3 , 20240926053228.861678+120 , C:\Users\lehorla\AppData\Local\Programs\Microsoft VS Code\Code.exe,2256 , 3692 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1 , 20240926053238.381466+120 , None,7880 , 3436 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1 , 20240926053238.199853+120 , None,7144 , 5148 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053238.022685+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7144 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926053238.007760+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7880 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe config --get commit.template , 20240926053239.431664+120 , None,7880 , 3204 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053240.499888+120 , C:\Windows\system32\conhost.exe,996 , 6652 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053240.488647+120 , C:\Program Files\Git\cmd\git.exe,2292 , 996 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926053241.149113+120 , None,1648 , 7248 , (None, 2, None) , N/A
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053249.084977+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1768 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926053250.842111+120 , None,396 , 2140 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
None , 20240926053253.462846+120 , None,628 , 5240 , (None, 2, None) , N/A
"C:\Program Files\Git\cmd\git.exe" config --get commit.template , 20240926053255.561925+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7536 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053256.406409+120 , C:\Program Files\Git\cmd\git.exe,2292 , 3156 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053256.547616+120 , C:\Program Files\Git\mingw64\bin\git.exe,3156 , 3276 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053256.419175+120 , C:\Windows\system32\conhost.exe,3156 , 4160 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053303.283904+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1492 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053305.774957+120 , C:\Windows\system32\conhost.exe,7420 , 4524 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053306.009385+120 , C:\Program Files\Git\mingw64\bin\git.exe,7420 , 7276 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053305.748645+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7420 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --lang=fr --service-sandbox-type=service --string-annotations=is-enterprise-managed=no --field-trial-handle=5348,i,10429386024063121222,12529014306556427185,262144 --variations-seed-version --mojo-platform-channel-handle=5928 /prefetch:8 , 20240926053307.336984+120 , None,5524 , 2208 , ('DESKTOP-JCMNI29', 0, 'lehorla') , 
"C:\Program Files\Git\cmd\git.exe" config --local branch.main.vscode-merge-base , 20240926053311.252309+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6748 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926053314.034670+120 , None,1648 , 700 , (None, 2, None) , N/A
"C:\Program Files\Windows NT\Accessories\WORDPAD.EXE" "C:\Users\lehorla\AppData\Local\Temp\Temp1_bhvulnservice.zip\bhservice.rtf" , 20240926053318.471730+120 , None,3232 , 2812 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926053319.783177+120 , None,1620 , 7640 , (None, 2, None) , N/A
None , 20240926053321.782403+120 , None,396 , 3488 , (None, 2, None) , N/A
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053323.538919+120 , C:\Program Files\Git\cmd\git.exe,2292 , 4412 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXxw3e32mpkfkfbh0tznpwwqfw96t0tfx6.mca , 20240926053324.178330+120 , None,764 , 4492 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca , 20240926053325.242056+120 , None,764 , 2728 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053339.121626+120 , C:\Windows\system32\conhost.exe,7284 , 5012 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\system32\svchost.exe -k PrintWorkflow , 20240926053341.093310+120 , C:\Windows\system32\svchost.exe,628 , 7624 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240926053347.600306+120 , C:\Windows\System32\RuntimeBroker.exe,764 , 7724 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Windows\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20240926053358.692159+120 , C:\Windows\system32\BackgroundTaskHost.exe,764 , 5500 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20240926053400.973217+120 , C:\Windows\System32\RuntimeBroker.exe,764 , 7180 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053452.171226+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1768 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053452.642519+120 , C:\Windows\system32\conhost.exe,6768 , 6548 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053453.910273+120 , C:\Program Files\Git\mingw64\bin\git.exe,1224 , 1144 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053453.823111+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1224 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053453.832742+120 , C:\Windows\system32\conhost.exe,1224 , 6460 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053501.390534+120 , C:\Windows\system32\conhost.exe,7788 , 4524 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053506.521095+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1840 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053506.531011+120 , C:\Windows\system32\conhost.exe,1840 , 4644 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053506.623472+120 , C:\Program Files\Git\mingw64\bin\git.exe,1840 , 6896 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca , 20240926053511.131744+120 , C:\Windows\system32\backgroundTaskHost.exe,764 , 6584 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053513.058935+120 , C:\Program Files\Git\mingw64\bin\git.exe,5328 , 2384 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053512.934645+120 , C:\Windows\system32\conhost.exe,5328 , 3272 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053512.925381+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5328 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053519.371023+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6256 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053519.381860+120 , C:\Windows\system32\conhost.exe,6256 , 7416 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053520.362419+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5372 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053526.012621+120 , C:\Windows\system32\conhost.exe,6300 , 2872 , ('DESKTOP-JCMNI29', 0, 'lehorla') , N/A
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053526.635115+120 , C:\Program Files\Git\cmd\git.exe,2292 , 2008 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe status -z -uall , 20240926053527.025658+120 , C:\Program Files\Git\mingw64\bin\git.exe,2008 , 3488 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926053528.282768+120 , C:\Program Files\Git\cmd\git.exe,2292 , 4992 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926053533.840499+120 , C:\Windows\system32\conhost.exe,6612 , 5980 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926053533.830562+120 , C:\Program Files\Git\cmd\git.exe,2292 , 6612 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
